title_yt,yt_vid,yt_url,title_yk,yk_vid,yk_url,title_bi,bi_vid,bi_url
1 机械手臂从零开始 搭建结构 (机器学习实战 教程教学 tutorial),sN3PN7LKPJs,https://www.youtube.com/watch?v=sN3PN7LKPJs,1 机械手臂从零开始 搭建结构 (机器学习实战 教程教学 tutorial),XMzE5NDYzMDU4MA,http://v.youku.com/v_show/id_XMzE5NDYzMDU4MA==.html,1 机械手臂从零开始 搭建结构 (机器学习实战 教程教学 tutorial),16797357&page=1,https://www.bilibili.com/video/av16797357/index_1.html
2 机械手臂从零开始 静态环境 (机器学习实战 教程教学 tutorial),d8d8M_RO6AU,https://www.youtube.com/watch?v=d8d8M_RO6AU,2 机械手臂从零开始 静态环境 (机器学习实战 教程教学 tutorial),XMzE5NDcwNzIxNg,http://v.youku.com/v_show/id_XMzE5NDcwNzIxNg==.html,2 机械手臂从零开始 写静态环境 (机器学习实战 教程教学 tutorial),16797357&page=2,https://www.bilibili.com/video/av16797357/index_2.html
3 机械手臂从零开始 写动态环境 (机器学习实战 教程教学 tutorial),T5QlePZ4s3U,https://www.youtube.com/watch?v=T5QlePZ4s3U,3 机械手臂从零开始 写动态环境 (机器学习实战 教程教学 tutorial),XMzE5NDgxNjIwOA,http://v.youku.com/v_show/id_XMzE5NDgxNjIwOA==.html,3 机械手臂从零开始 写动态环境 (机器学习实战 教程教学 tutorial),16797357&page=3,https://www.bilibili.com/video/av16797357/index_3.html
4 机械手臂从零开始 加入强化学习算法 (机器学习实战 教程教学 tutorial),n2v_yLShjE4,https://www.youtube.com/watch?v=n2v_yLShjE4,4 机械手臂从零开始 加入强化学习算法 (机器学习实战 教程教学 tutorial),XMzE5NTA1Nzc4NA,http://v.youku.com/v_show/id_XMzE5NTA1Nzc4NA==.html,4 机械手臂从零开始 加入强化学习算法 (机器学习实战 教程教学 tutorial),16797357&page=4,https://www.bilibili.com/video/av16797357/index_4.html
5 机械手臂从零开始 完善测试 (机器学习实战 教程教学 tutorial),inRN6p6IOWI,https://www.youtube.com/watch?v=inRN6p6IOWI,5 机械手臂从零开始 完善测试 (机器学习实战 教程教学 tutorial),XMzE5NTE5MTk5Ng,http://v.youku.com/v_show/id_XMzE5NTE5MTk5Ng==.html,5 机械手臂从零开始 完善测试 (机器学习实战 教程教学 tutorial),16797357&page=5,https://www.bilibili.com/video/av16797357/index_5.html
