title_yt,yt_vid,yt_url,title_yk,yk_vid,yk_url,title_bi,bi_vid,bi_url
python基础 31 Python threading 1 什么是多线程 (教学教程tutorial),kEkS2YOC80E,https://www.youtube.com/watch?v=kEkS2YOC80E, python基础31 Python threading 1 什么是多线程 (多线程 教学教程tutorial),XMTYwMDE1NDUyNA,http://v.youku.com/v_show/id_XMTYwMDE1NDUyNA==.html,1 什么是多线程,16944429&page=1,https://www.bilibili.com/video/av16944429/index_1.html
Python threading 2 添加线程 add thread (多线程 教学教程tutorial),EeoFahm8FOE,https://www.youtube.com/watch?v=EeoFahm8FOE, Python threading 2 添加线程 add thread (多线程 教学教程tutorial),XMTYwMDE5MTQ4MA,http://v.youku.com/v_show/id_XMTYwMDE5MTQ4MA==.html,2 添加线程 add thread,16944429&page=2,https://www.bilibili.com/video/av16944429/index_2.html
Python threading 3 join功能 (多线程 教学教程tutorial),BksasCVcJiY,https://www.youtube.com/watch?v=BksasCVcJiY, Python threading 3 join功能 (多线程 教学教程tutorial),XMTYwMDg0ODg0MA,http://v.youku.com/v_show/id_XMTYwMDg0ODg0MA==.html,3 join功能,16944429&page=3,https://www.bilibili.com/video/av16944429/index_3.html
Python threading 4 Queue功能 (多线程 教学教程tutorial),DnTn3Yx-Nvg,https://www.youtube.com/watch?v=DnTn3Yx-Nvg, Python threading 4 Queue功能 (多线程 教学教程tutorial),XMTYwMjMxODc3Mg,http://v.youku.com/v_show/id_XMTYwMjMxODc3Mg==.html,4 Queue功能,16944429&page=4,https://www.bilibili.com/video/av16944429/index_4.html
Python threading 5 不一定有效率 GIL (多线程 教学教程tutorial),2511-7VR4nQ,https://www.youtube.com/watch?v=2511-7VR4nQ, Python threading 5 不一定有效率 GIL (多线程 教学教程tutorial),XMTYwMjQyMDAzNg,http://v.youku.com/v_show/id_XMTYwMjQyMDAzNg==.html,5 不一定有效率 GIL,16944429&page=5,https://www.bilibili.com/video/av16944429/index_5.html
Python threading 6 锁 lock (多线程 教学教程tutorial),-q4txLdUMBM,https://www.youtube.com/watch?v=-q4txLdUMBM, Python threading 6 锁 lock (多线程 教学教程tutorial),XMTYwMjQ4Njk4OA,http://v.youku.com/v_show/id_XMTYwMjQ4Njk4OA==.html,6 锁 lock,16944429&page=6,https://www.bilibili.com/video/av16944429/index_6.html
